method,epoch,train_loss,train_acc,val_loss,val_acc,val_acc_within1
finetune,1,1.6081,0.22,1.5992,0.24,0.62
finetune,2,1.5379,0.38,1.5837,0.28,0.69
finetune,3,1.4836,0.48,1.5554,0.34,0.79
finetune,4,1.4067,0.595,1.5115,0.38,0.81
finetune,5,1.3452,0.59,1.461,0.39,0.83
finetune,6,1.2456,0.645,1.4153,0.45,0.85
finetune,7,1.1424,0.735,1.3733,0.4,0.87
finetune,8,1.0415,0.745,1.3503,0.42,0.85
finetune,9,0.975,0.73,1.3324,0.46,0.87
finetune,10,0.8528,0.8,1.3338,0.5,0.86
finetune,11,0.7821,0.81,1.2955,0.48,0.81
finetune,12,0.6793,0.83,1.3038,0.42,0.85
finetune,13,0.5854,0.825,1.3495,0.41,0.81
finetune,14,0.5232,0.84,1.2842,0.46,0.81
finetune,15,0.4561,0.9,1.3065,0.44,0.83
