method,epoch,train_loss,train_acc,val_loss,val_acc,val_acc_within1
frozen,1,1.4969,0.3169,1.297,0.431,0.7688
frozen,2,1.284,0.4299,1.1864,0.4722,0.8596
frozen,3,1.2426,0.4382,1.1006,0.5218,0.868
frozen,4,1.1564,0.4854,1.0572,0.5484,0.9298
frozen,5,1.1394,0.4953,1.0474,0.5387,0.9249
frozen,6,1.0785,0.5309,0.9977,0.5266,0.8959
frozen,7,1.0577,0.5361,1.0202,0.5315,0.8971
frozen,8,1.0282,0.537,0.9561,0.5654,0.9249
frozen,9,1.0062,0.5501,0.9074,0.5956,0.9576
frozen,10,1.0059,0.5545,0.9046,0.6029,0.9201
frozen,11,0.9738,0.5707,0.9028,0.632,0.9383
frozen,12,0.9691,0.5663,0.8809,0.6065,0.9479
frozen,13,0.9555,0.5853,0.8481,0.6199,0.937
frozen,14,0.9278,0.5959,0.8713,0.6174,0.9407
frozen,15,0.926,0.5917,0.8796,0.615,0.9201
finetune,1,1.1258,0.5234,0.6606,0.747,0.9855
finetune,2,0.6417,0.7398,0.6264,0.6998,0.9867
finetune,3,0.4976,0.7985,0.4345,0.8099,0.9952
finetune,4,0.377,0.8624,0.3701,0.862,0.9927
finetune,5,0.3035,0.8882,0.2436,0.8971,0.9988
finetune,6,0.2627,0.9029,0.2852,0.8777,1.0
finetune,7,0.2006,0.93,0.2672,0.8935,0.9976
finetune,8,0.1983,0.9298,0.2176,0.9128,0.9988
finetune,9,0.1347,0.9517,0.2843,0.8995,0.9976
finetune,10,0.1379,0.9523,0.2231,0.9189,0.9976
finetune,11,0.1233,0.9581,0.3013,0.8935,0.9976
finetune,12,0.0801,0.9747,0.2594,0.908,0.9988
finetune,13,0.1164,0.9603,0.2137,0.9189,1.0
finetune,14,0.0958,0.9698,0.4213,0.8692,0.9891
finetune,15,0.0637,0.979,0.1925,0.9383,0.9964
